Linear_GD,Ridge_GD,Lasso_CD
1.0,1.0,0.40416172942781164
0.973214040406262,0.973214040406262,0.3812993179071851
0.9477100683743378,0.9477100683743378,0.37985698408524776
0.9234235326310078,0.9234235326310078,0.37945803215050206
0.900293265190257,0.900293265190257,0.37909144931767635
0.8782612972234517,0.8782612972234516,0.3787599905604089
0.8572726853556263,0.8572726853556263,0.3784649565696312
0.837275347770314,0.837275347770314,0.3782018542756833
0.8182199095438906,0.8182199095438906,0.37796709579234317
0.8000595566663954,0.8000595566663954,0.3777576341287051
0.7827498982394093,0.7827498982394093,0.3775708051797154
0.7662488363729891,0.7662488363729891,0.3774042581460962
0.7505164433330193,0.7505164433330193,0.3772556901488355
0.7355148455178003,0.7355148455178003,0.37712313596360353
0.7212081138683708,0.7212081138683708,0.37700487769488367
0.7075621603410854,0.7075621603410854,0.3768993754345448
0.694544640093456,0.694544640093456,0.37680525369171425
0.6821248590553022,0.6821248590553022,0.37672128593348597
0.6702736865769758,0.6702736865769758,0.3766465184540523
0.6589634728648678,0.6589634728648678,0.37657982641910553
0.6481679709317107,0.6481679709317107,0.37652032377808153
0.637862262805391,0.637862262805391,0.3764672307857304
0.628022689755173,0.628022689755173,0.37641985597500915
0.6186267863084888,0.6186267863084888,0.37637758280023936
0.6096532178447988,0.6096532178447988,0.37633986112450935
0.6010817215655658,0.6010817215655658,0.376306200165808
0.5928930506511431,0.5928930506511431,0.3762761621004308
0.5850689214264152,0.5850689214264152,0.37624935634616546
0.5775919633673934,0.5775919633673934,0.3762254344638504
0.5704456717906955,0.5704456717906955,0.3762040856090217
0.5636143630769872,0.5636143630769872,0.3761850324742183
0.5570831322880372,0.5570831322880372,0.3761680276691632
0.5508378130451203,0.5508378130451203,0.376152850491635
0.5448649395440756,0.5448649395440756,0.3761393040469011
0.5391517105894651,0.5391517105894651,0.37612721267810684
0.5336859555369755,0.5336859555369755,0.3761164196740687
0.528456102039518,0.528456102039518,0.3761067852245265
0.5234511454984065,0.5234511454984065,0.3760981845961452
0.5186606201265799,0.5186606201265799,0.37609050650543135
0.5140745715360837,0.5140745715360837,0.37608365166730784
0.509683530766971,0.509683530766971,0.37607753150037726
0.5054784896794366,0.5054784896794366,0.376072066971959
0.5014508776353801,0.5014508776353801,0.37606718756780616
0.49759253939972137,0.49759253939972137,0.37606283037304133
0.49389571419568,0.49389571419568,0.3760589392523016
0.4903530158518911,0.4903530158518911,0.37605546411838164
0.4869574139826833,0.4869574139826833,0.37605236027981864
0.4837022161460953,0.4837022161460953,0.3760495878588964
0.48058105092727527,0.48058105092727527,0.37604711127246543
0.47758785189779435,0.47758785189779435,0.37604489876879627
0.474716842404134,0.474716842404134,0.37604292201441747
0.47196252114117593,0.47196252114117593,0.37604115572554075
0.4693196484689449,0.4693196484689449,0.3760395773392608
0.4667832334331439,0.4667832334331439,0.37603816672023394
0.46434852145217725,0.46434852145217725,0.3760369058990077
0.4620109826353933,0.4620109826353933,0.37603577883858275
0.4597663006991957,0.4597663006991957,0.37603477122616075
0.4576103624494916,0.4576103624494916,0.3760338702873585
0.4555392478006498,0.4555392478006498,0.37603306462046415
0.45354922030276185,0.45354922030276185,0.37603234404857094
0.4516367181505226,0.4516367181505226,0.3760316994876609
0.4497983456484875,0.4497983456484875,0.3760311228289142
0.4480308651088249,0.4480308651088249,0.37603060683371214
0.44633118915896564,0.44633118915896564,0.37603014503996096
0.4446963734377671,0.4446963734377671,0.37602973167851594
0.44312360965995506,0.44312360965995506,0.37602936159861705
0.4416102190296898,0.4416102190296898,0.37602903020136097
0.44015364598512785,0.44015364598512785,0.3760287333803452
0.43875145225681855,0.43875145225681855,0.3760284674687087
0.4374013112236859,0.4374013112236859,0.3760282291918795
0.4361010025512176,0.4361010025512176,0.37602801562541394
0.4348484070972915,0.4348484070972915,0.376027824157377
0.4336415020718505,0.4336415020718505,0.3760276524547765
