Labels,Linear,Ridge,Lasso
Intercept,0.5099431734885685,0.5150133007588419,0.48952205662416237
Cement,0.2920918531065798,0.29085439052041595,0.2745732967260282
Blast Furnace Slag,0.1278144226917043,0.12842919284937482,0.09243868400860325
Fly Ash,-0.3560867914904081,-0.34489072543144916,-0.3251756623769705
Water,0.11036393984833805,0.11513233976821784,0.1314781199099908
Superplasticizer,-0.06808830396393048,-0.06294958656023178,-0.06180302388888296
Coarse Aggregate,-0.1298441337893105,-0.13010718305569874,-0.12946187568356957
Fine Aggregate,0.4298447036705331,0.43772171788044223,0.4143146850380046
Age (day),-0.004463860365088487,-0.0008537301307039938,0.0003091562728290342
Test MSE,0.4586469900985949,0.46389514091923445,0.4598860999617885
Test R2 Score,0.5595572238837014,0.5545173780614874,0.558367295682187
